updated_utc,item_id,floor_copper,market_copper,quantity,lots,deal_qty,deal_cost
2026-08-07T02:41:56Z,124669,91300,99900,164295,180,23210,2293814100
2026-08-07T02:41:56Z,124671,2149500,2485800,68888,256,8623,20031717000
2026-08-07T02:41:56Z,132514,830000,850000,80297,107,10035,8379077200
2026-08-07T02:41:56Z,151567,2500,650000,250399,164,3294,19185800
2026-08-07T02:41:56Z,152512,38800,40000,456183,84,5471,215410900
2026-08-07T02:41:56Z,152577,26400,26500,515745,155,742,19588800
2026-08-07T02:41:56Z,152877,259900,494500,48045,75,1599,448308000
2026-08-07T02:41:56Z,169332,200000,4008000,18492,80,295,521393700
2026-08-07T02:41:56Z,169333,430000,4000000,23303,83,662,462536300
2026-08-07T02:41:56Z,174353,19100,259400,105787,64,253,4996900
2026-08-07T02:41:56Z,213611,469900,498000,70685,106,10291,5075440300
2026-08-07T02:41:56Z,213612,455000,488900,30403,139,3766,1778810800
2026-08-07T02:41:56Z,236761,25700,32500,923105,928,125817,3612517300
2026-08-07T02:41:56Z,236771,83800,244100,83826,664,12512,3025930600
2026-08-07T02:41:56Z,236774,135900,140400,152813,802,20373,2814477400
2026-08-07T02:41:56Z,236775,460000,473000,40487,709,5160,2431329400
2026-08-07T02:41:56Z,236776,145300,152600,187188,1357,26955,4047175500
2026-08-07T02:41:56Z,236777,172800,495000,23355,643,2214,1093876300
2026-08-07T02:41:56Z,236780,3997000,4029900,25564,941,3830,15363857900
2026-08-07T02:41:56Z,236949,9000,10000,3857152,726,477288,4654561700
2026-08-07T02:41:56Z,237016,795000,795000,21699,172,0,0
2026-08-07T02:41:56Z,237017,542300,542300,41012,160,0,0
2026-08-07T02:41:56Z,237018,499700,500000,26903,196,3445,1721488400
2026-08-07T02:41:56Z,237359,92200,96000,198145,850,26194,2497482800
2026-08-07T02:41:56Z,237361,105000,343300,78042,518,10847,3516682500
2026-08-07T02:41:56Z,237362,109000,114700,194699,752,28970,3287277800
2026-08-07T02:41:56Z,237363,142600,409200,70748,556,10561,4310454700
2026-08-07T02:41:56Z,237365,376900,386100,118614,696,16768,6352637900
2026-08-07T02:41:56Z,237366,159900,197500,73791,365,7427,1313457700
2026-08-07T02:41:56Z,237373,3000000,3009900,1081,38,157,471529200
2026-08-07T02:41:56Z,238198,650000,650000,16161,157,0,0
2026-08-07T02:41:56Z,238203,2478500,2478500,8297,167,0,0
2026-08-07T02:41:56Z,238205,2329000,2329000,6489,110,0,0
2026-08-07T02:41:56Z,238213,180700,180700,81799,68,0,0
2026-08-07T02:41:56Z,238371,699400,727400,18654,213,2495,1769164300
2026-08-07T02:41:56Z,238382,312200,394800,37974,141,2364,835249300
2026-08-07T02:41:56Z,238512,40000,47200,333909,702,36605,1556128000
2026-08-07T02:41:56Z,238529,39919700,40400000,3070,390,412,16492266900
2026-08-07T02:41:56Z,238530,6534100,7054700,2554,294,355,2473262800
2026-08-07T02:41:56Z,239198,1355400,1359900,12832,78,1923,2607079500
2026-08-07T02:41:56Z,239200,1551300,1558900,14589,414,1315,2048278800
2026-08-07T02:41:56Z,239201,1774900,1795300,14313,89,1910,3390794500
2026-08-07T02:41:56Z,240975,9686900,9687000,2197,150,16,154990400
2026-08-07T02:41:56Z,240990,2347200,2407400,18623,134,2495,5857264000
2026-08-07T02:41:56Z,241304,1579600,1579800,9882,97,1312,2072565400
2026-08-07T02:41:56Z,241308,1689800,1699900,32516,225,4863,8223665500
2026-08-07T02:41:56Z,241312,1453900,1594200,8080,79,370,589325000
2026-08-07T02:41:56Z,241320,4905400,4908000,3615,138,523,2565524200
2026-08-07T02:41:56Z,241324,4600000,5000000,5599,63,589,2799161600
